Time V mNa hNa jNa Nai Ki Cai CaNSR xKs LTRPNCa HTRPNCa C0Kv43 C1Kv43 C2Kv43 C3Kv43 OKv43 CI0Kv43 CI1Kv43 CI2Kv43 CI3Kv43 OIKv43 C0Kv14 C1Kv14 C2Kv14 C3Kv14 OKv14 CI0Kv14 CI1Kv14 CI2Kv14 CI3Kv14 OIKv14 CaToT C1Herg C2Herg C3Herg OHerg IHerg
0.035 1.0952393 0.99535213 1.5861159e-07 0.00055000547 10.214262 132.13568 0.00054427269 0.85727101 0.01642694 0.23290171 0.98436202 1.7060064e-05 0.00045685739 0.0044956611 0.018970486 0.032868378 6.2704863e-09 2.0067665e-06 0.00033856686 0.030444996 0.91172144 0 3.7588104e-08 9.6225495e-06 0.0010826139 0.044339698 0 -2.1305762e-10 1.2363001e-07 0.00026423642 0.95417489 7.4606444 0.56551014 0.23508747 0.036093492 0.01519127 0.14811763 
0.036 1.4686512 0.99555211 1.4729954e-07 0.00039643838 10.214191 132.13567 0.00056010786 0.85056588 0.016851153 0.24123314 0.98448306 1.3434464e-05 0.00037169741 0.003779621 0.016489536 0.029530315 5.3051329e-09 1.777226e-06 0.00031417431 0.02972617 0.91908873 0 2.9238791e-08 7.8188129e-06 0.00091927306 0.039368593 0 -2.0235993e-08 1.352287e-07 0.00025430811 0.95932109 7.4626419 0.55820275 0.23761721 0.036334003 0.015343142 0.1525029 
0.037 1.7604728 0.99568529 1.4087525e-07 0.00029665638 10.214128 132.13566 0.00057320636 0.84458788 0.017230559 0.24855359 0.98459333 1.1023749e-05 0.00031262094 0.0032593879 0.014590684 0.026795805 4.7401131e-09 1.6453543e-06 0.0003004572 0.029278318 0.92476552 0 2.4341947e-08 6.6831698e-06 0.00080657622 0.035478038 -4.7303221e-10 1.2948421e-07 -2.8461026e-08 0.00024889391 0.96333091 7.4643372 0.55179512 0.23968459 0.036600324 0.015504589 0.15641538 
0.038 2.0876577 0.99584076 1.3310388e-07 0.00022025116 10.214064 132.13565 0.00058625168 0.838435 0.017625055 0.25599192 0.98470927 8.9892792e-06 0.00026154877 0.0027985815 0.012864783 0.02424914 4.1957966e-09 1.5119818e-06 0.00028533526 0.028692001 0.93015357 0 1.9992069e-08 5.6564813e-06 0.00070387951 0.03193885 0 -1.1452786e-08 1.1434302e-07 0.00024241853 0.9669803 7.4660681 0.54503856 0.24190667 0.03688585 0.015678106 0.16049082 
0.039 2.2671766 0.99592336 1.2897852e-07 0.00016290422 10.213999 132.13565 0.00059832059 0.83221348 0.018027639 0.2634172 0.98482913 7.4163552e-06 0.00022054942 0.0024128258 0.011348809 0.021871989 3.826905e-09 1.4183669e-06 0.00027511265 0.028421222 0.93475612 0 1.6893188e-08 4.8788485e-06 0.00062013138 0.028762439 4.5177474e-10 -1.2988194e-07 2.3495389e-07 0.00023823627 0.97024541 7.4676423 0.53842528 0.24386438 0.037180578 0.015873664 0.1646561 
0.04 2.4724025 0.99601321 1.2456154e-07 0.00012181544 10.213937 132.13565 0.00060904615 0.82625073 0.018418212 0.27044403 0.98494662 6.2156806e-06 0.00018832754 0.0020997868 0.010071469 0.019780466 3.5250964e-09 1.3413709e-06 0.00026615553 0.028089139 0.93881256 0 1.4436556e-08 4.2469626e-06 0.00055047736 0.026051392 1.2183428e-09 -3.5703391e-07 4.7105302e-07 0.0002344058 0.97303057 7.4691251 0.53225823 0.24551844 0.037439099 0.016072172 0.16871206 
0.041 2.7945193 0.99614731 1.1845501e-07 8.841262e-05 10.213869 132.13565 0.00062008187 0.81974287 0.018852712 0.27801591 0.98507798 5.1131142e-06 0.00015819225 0.0018015128 0.0088299526 0.017710837 3.1855696e-09 1.2521631e-06 0.00025506005 0.027550206 0.94300333 0 1.1948641e-08 3.6235982e-06 0.00048192427 0.02341642 -2.6784488e-09 8.0798854e-07 -7.6204584e-07 0.00022930969 0.97573989 7.4708158 0.52547943 0.24729041 0.037694141 0.016287927 0.17324809 
0.042 3.0999474 0.99627354 1.1270692e-07 6.5236375e-05 10.213804 132.13565 0.00062967329 0.81365882 0.019269446 0.28501041 0.98520401 4.2277742e-06 0.00013361563 0.0015547332 0.0077898896 0.015963035 2.8748786e-09 1.1655334e-06 0.00024391907 0.027019958 0.94660492 0 1.002028e-08 3.1077894e-06 0.00042470614 0.021219084 5.5466484e-10 -1.7188596e-07 2.6732694e-07 0.00022377021 0.97800045 7.4723799 0.51892858 0.24903973 0.037926739 0.0164841 0.17762085 
0.043 3.4426656 0.99641105 1.0650175e-07 4.8254852e-05 10.21374 132.13566 0.00063870805 0.80772925 0.019688157 0.29175259 0.98533008 3.4715097e-06 0.00011233247 0.0013385819 0.0068718216 0.014419749 2.5668387e-09 1.0754591e-06 0.00023179739 0.026413198 0.94992343 0 8.3763541e-09 2.6535266e-06 0.00037409834 0.01929581 5.2874758e-09 -1.6898212e-06 1.8642135e-06 0.00021740919 0.97998106 7.4739541 0.51218943 0.25094775 0.038161273 0.016667636 0.18203391 
0.044 3.667617 0.99650033 1.0216971e-07 3.5518534e-05 10.213675 132.13566 0.00064752424 0.80181812 0.020118475 0.29840456 0.98545915 2.8466491e-06 9.4298599e-05 0.0011506868 0.0060532381 0.013005573 2.3250539e-09 1.000251e-06 0.00022166556 0.026015523 0.95277063 0 6.9156954e-09 2.2859371e-06 0.0003311599 0.017568406 -2.0322318e-09 6.6480263e-07 -6.2455383e-07 0.00021224825 0.98175708 7.4754294 0.50529666 0.25285261 0.038413686 0.016855517 0.18658153 
